STATION_NAME,LATITUDE,LONGITUDE,MODEL,YEAR_START,YEAR_END,SCENARIO
"Westfield Culver City (Culver City, CA)",33.986880000000000,-118.39429000000000,Ioniq 9,2026,,with adapter
KH Structure,34.062704800000000,-118.20349060000000,Ioniq 9,2026,,with adapter
Caltrans - Valley Wells Rest Area - Southbound,35.435299000000000,-115.70199000000000,Ioniq 9,2026,,with adapter
Margarita Plaza,33.975304000000000,-118.23001900000000,Ioniq 6,2022,2025,with adapter
Veteran's Memorial Park,34.012781000000000,-118.40304000000000,Ioniq 6,2026,,with adapter
"Pomona, CA - Tesla Supercharger",34.026968000000000,-117.76228800000000,Ioniq 5 N,2026,2026,with adapter
Margarita Plaza,33.975304000000000,-118.23001900000000,Kona Electric,2019,2025,with adapter
City of Los Angeles Lot 657,34.072877000000000,-118.21769000000000,Ioniq 5,2025,2026,with adapter
ONTARIO HYUNDAI VEHICLE DISPLY1,34.049976000000000,-117.54789800000000,Ioniq 9,2026,,with adapter
LOVE'S 374 - CA #374 DC1,34.856826000000000,-117.09190800000000,Ioniq 5,2025,2026,with adapter
LA County DHS 313 Fig,34.060148000000000,-118.25074700000000,Ioniq 5 N,2026,2026,with adapter
US Bank 3355 Glendale,34.119663300000000,-118.25953740000000,Kona Electric,2019,2025,with adapter
The Mall of Victor Valley,34.472906000000000,-117.35014200000000,Ioniq 5,2022,2024,with adapter
Cardenas Market Hesperia,34.423802000000000,-117.32503600000000,Ioniq 6,2022,2025,with adapter
"Target T1524 (Spring Valley, NV)",36.114810000000000,-115.31058000000000,Ioniq 5,2025,2026,with adapter
Cardenas Market Hesperia,34.423802000000000,-117.32503600000000,Ioniq 5,2025,2026,with adapter
8000 Sunset Blvd,34.097482500000000,-118.36446270000000,Ioniq 5 N,2025,2025,with adapter
1310 W Baseline Rd,34.122101000000000,-117.39687900000000,Ioniq 5 N,2025,2025,with adapter
City National Plaza,34.052093700000000,-118.25523390000000,Ioniq 5 N,2025,2025,with adapter
City National Plaza,34.052093700000000,-118.25523390000000,Ioniq 5 N,2026,2026,with adapter
660 Mateo Parking Lot,34.035930000000000,-118.23231000000000,Ioniq 5,2022,2024,with adapter
660 Mateo Parking Lot,34.035930000000000,-118.23231000000000,Ioniq 9,2026,,with adapter
DC CORRIDOR EDDIES Y DC2,34.907482000000000,-116.83597400000000,Ioniq 6,2022,2025,with adapter
"Ontario Mills (Ontario, CA)",34.074240000000000,-117.54753000000000,Ioniq 5,2022,2024,with adapter
Las Vegas,35.999436000000000,-115.17175500000000,Kona Electric,2019,2025,with adapter
DC CORRIDOR EDDIES Y DC3,34.907542000000000,-116.83604800000000,Ioniq 9,2026,,with adapter
GM Oil Site 76 Chevron San Bernardino,34.165633510226000,-117.33232266743800,Kona Electric,2019,2025,with adapter
"BOA LA Chinatown CA9-167 (Los Angeles, CA)",34.063310000000000,-118.23718000000000,Ioniq 9,2026,,with adapter
GF4EVA VVILLE M6 DC2,34.556316000000000,-117.28995600000000,Ioniq 5,2022,2024,with adapter
IN-N-OUT ATLANTIC 02,33.977739000000000,-118.18719800000000,Ioniq 5 N,2026,2026,with adapter
"Ralphs 060 (Glendale, CA)",34.142440000000000,-118.23379000000000,Ioniq 6,2026,,with adapter
"Pavilions 2229 (Los Angeles, CA)",34.083640000000000,-118.32747000000000,Ioniq 6,2026,,with adapter
CITY_OF_VERNON 1850 E25TH-6,34.014444000000000,-118.23802600000000,Ioniq 5 N,2025,2025,with adapter
DCF - JV DCF POMONA1,34.029579000000000,-117.75899900000000,Ioniq 6,2026,,with adapter
"Inglewood, CA - West Imperial Highway - Tesla Supercharger",33.930757000000000,-118.32770400000000,Ioniq 6,2022,2025,with adapter
"Target T2179 (Diamond Bar, CA)",34.004360000000000,-117.82223000000000,Kona Electric,2019,2025,with adapter
Madison Parking Lot,34.015769507079150,-118.40447340393226,Ioniq 6,2026,,with adapter
CITY_OF_VERNON 1850 E25TH-10,34.014380000000000,-118.23810800000000,Kona Electric,2019,2025,with adapter
Las Vegas - South Nellis Boulevard - Tesla Supercharger,36.144821000000000,-115.06351000000000,Kona Electric,2019,2025,with adapter
Park Towers at Hughes Center,36.115304500000000,-115.15677400000000,Ioniq 9,2026,,with adapter
Onyx Towers,34.062740000000000,-118.36189000000000,Ioniq 5,2022,2024,with adapter
KH Structure,34.062704800000000,-118.20349060000000,Ioniq 5,2025,2026,with adapter
"Las Vegas, NV - South Fort Apache Road - Tesla Supercharger",36.093958000000000,-115.29710800000000,Ioniq 5,2025,2026,with adapter
City of Los Angeles Lot 657,34.072877000000000,-118.21769000000000,Ioniq 5 N,2026,2026,with adapter
"Victorville, CA - Amargosa Road - Tesla Supercharger",34.463006000000000,-117.35421800000000,Ioniq 5 N,2025,2025,with adapter
"Baker, CA - Mojave Pointe Rd - Tesla Supercharger",35.268984000000000,-116.06668900000000,Ioniq 9,2026,,with adapter
"Los Angeles, CA - Venice Boulevard - Tesla Supercharger",34.027975000000000,-118.39414400000000,Ioniq 6,2026,,with adapter
The Mall of Victor Valley,34.472906000000000,-117.35014200000000,Ioniq 6,2022,2025,with adapter
"Las Vegas, NV - Arroyo Crossing Parkway - Tesla Supercharger",36.062251000000000,-115.25172100000000,Ioniq 5 N,2025,2025,with adapter
"Barstow, CA - Tanger Way - Tesla Supercharger",34.844499000000000,-117.08577100000000,Ioniq 5 N,2026,2026,with adapter
"Las Vegas, NV - West Craig Road - Tesla Supercharger",36.239055000000000,-115.24980200000000,Ioniq 9,2026,,with adapter
Venice Crossroads,34.027360000000000,-118.39233000000000,Ioniq 9,2026,,with adapter
"West Covina, CA - 1414 S Azusa Ave - Tesla Supercharger",34.047677000000000,-117.90707500000000,Ioniq 9,2026,,with adapter
DC CORRIDOR EDDIES Y DC1,34.907504000000000,-116.83600100000000,Ioniq 5,2025,2026,with adapter
Venice Crossroads,34.027360000000000,-118.39233000000000,Ioniq 6,2026,,with adapter
Emser International,34.063430000000000,-118.36870000000000,Ioniq 6,2026,,with adapter
99 Ranch Chino Hills,34.010479900000000,-117.74055430000000,Ioniq 6,2026,,with adapter
Sunset Studios,34.097298464012000,-118.31692890366400,Ioniq 6,2026,,with adapter
Rialto Village,34.073740000000000,-117.37058000000000,Ioniq 5,2025,2026,with adapter
Chevrolet of Puente Hills,33.997758000000000,-117.92869900000000,Ioniq 9,2026,,with adapter
"Jurupa Valley, CA - Tesla Supercharger",34.012541000000000,-117.46064800000000,Kona Electric,2019,2025,with adapter
"South Pasadena, CA - Tesla Supercharger",34.112612000000000,-118.15064600000000,Ioniq 9,2026,,with adapter
"Los Angeles, CA - Industrial Street - Tesla Supercharger",34.035783000000000,-118.23835900000000,Kona Electric,2019,2025,with adapter
LA County ISD Walt Disney Parking Garage P3,34.055505000000000,-118.24885200000000,Ioniq 5 N,2026,2026,with adapter
Fountainebleau,36.138658700000000,-115.16036550000000,Ioniq 6,2026,,with adapter
City of Pasadena - Del Mar Station,34.142000000000000,-118.14862600000000,Ioniq 6,2022,2025,with adapter
Central & Walnut - Tesla Supercharger,34.026990000000000,-117.68730100000000,Ioniq 5,2025,2026,with adapter
CITY_OF_VERNON 3805 SOTO-1,34.007812000000000,-118.21992600000000,Ioniq 5,2022,2024,with adapter
"Alhambra, CA - West Valley Boulevard - Tesla Supercharger",34.077346000000000,-118.13855400000000,Ioniq 5 N,2026,2026,with adapter
"Henderson, NV - Paseo Verde Parkway - Tesla Supercharger",36.022121000000000,-115.08922800000000,Ioniq 5 N,2025,2025,with adapter
"Las Vegas, NV - South Decatur Boulevard - Tesla Supercharger",36.171532000000000,-115.20723300000000,Ioniq 5 N,2026,2026,with adapter
"Walmart 4356 (SW Las Vegas, NV)",36.064600000000000,-115.24718000000000,Ioniq 6,2022,2025,with adapter
JLR HENDERSON ABB 01,36.053452000000000,-115.02825800000000,Ioniq 5 N,2026,2026,with adapter
"Walmart 4356 (SW Las Vegas, NV)",36.064600000000000,-115.24718000000000,Ioniq 9,2026,,with adapter
Puente Hills Town Center,33.990370000000000,-117.92588000000000,Ioniq 5 N,2025,2025,with adapter
"Rancho Cucamonga, CA – Foothill Boulevard - Tesla Supercharger",34.106565000000000,-117.52688900000000,Ioniq 6,2026,,with adapter
CITY_OF_VERNON 1850 E25TH-8,34.014405000000000,-118.23806900000000,Ioniq 5 N,2025,2025,with adapter
City of Pasadena - Robinson Park,34.164516574203800,-118.15178871863500,Ioniq 5,2022,2024,with adapter
Covina Hills Chevrolet,34.078031000000000,-117.89101400000000,Kona Electric,2019,2025,with adapter
Metro Nissan of Montclair,34.082222000000000,-117.69490300000000,Ioniq 9,2026,,with adapter
Hilton Plaza,34.080257000000000,-118.10265600000000,Ioniq 5,2025,2026,with adapter
1135 W Renaissance Parkway,34.132132000000000,-117.39271700000000,Ioniq 5,2022,2024,with adapter
CSULA Parking Structure B,34.065661000000000,-118.17018900000000,Ioniq 5,2022,2024,with adapter
DC OB DC 3,34.846389000000000,-117.08386400000000,Ioniq 9,2026,,with adapter
"North Las Vegas, NV - East Lake Mead South Boulevard - Tesla Supercharger",36.195978000000000,-115.13200700000000,Ioniq 9,2026,,with adapter
Caltrans - Valley Wells Rest Area - Southbound,35.435299000000000,-115.70199000000000,Ioniq 5,2025,2026,with adapter
Caltrans - Valley Wells Rest Area - Southbound,35.435299000000000,-115.70199000000000,Ioniq 5 N,2026,2026,with adapter
"Barstow, CA - 1503 East Main Street - Tesla Supercharger",34.893641000000000,-117.00244400000000,Kona Electric,2019,2025,with adapter
Chase Bank - 925 N Hacienda Blvd,34.036106000000000,-117.95038500000000,Ioniq 9,2026,,with adapter
"Montebello, CA - N Wilcox Ave - Tesla Supercharger",34.031001000000000,-118.12593500000000,Ioniq 6,2022,2025,with adapter
Ontario Mills - Skechers,34.071281000000000,-117.54922700000000,Ioniq 5 N,2025,2025,with adapter
G&M OIL G&M #111,34.018667000000000,-118.35496100000000,Ioniq 5,2022,2024,with adapter
JLRLV PUPLIC WEST DC,36.065812000000000,-115.23208400000000,Ioniq 6,2026,,with adapter
"Las Vegas, NV - Arroyo Crossing Parkway - Tesla Supercharger",36.062251000000000,-115.25172100000000,Kona Electric,2019,2025,with adapter
"Barstow, CA",34.851349000000000,-117.08257800000000,Ioniq 5 N,2026,2026,with adapter
Mountain Vista Plaza,34.137466600000000,-117.98216400000000,Ioniq 5,2025,2026,with adapter
WattEV - Vernon (Bandini Blvd),34.003200000000000,-118.18745000000000,Ioniq 5 N,2025,2025,with adapter
"Commerce, CA - E Telegraph Rd - Tesla Supercharger",33.998388000000000,-118.14614700000000,Ioniq 6,2022,2025,with adapter
DC CORRIDOR EDDIES Y DC2,34.907482000000000,-116.83597400000000,Ioniq 5 N,2025,2025,with adapter
City of Pasadena - Marengo Garage,34.144703000000000,-118.14695700000000,Kona Electric,2019,2025,with adapter
"BOA LA Chinatown CA9-167 (Los Angeles, CA)",34.063310000000000,-118.23718000000000,Ioniq 5 N,2025,2025,with adapter
PowerStation - Rasor Rd,35.134718200000000,-116.21681310000000,Ioniq 6,2026,,with adapter
DC CORRIDOR EDDIES Y DC3,34.907542000000000,-116.83604800000000,Ioniq 5 N,2025,2025,with adapter
Central & Walnut - Tesla Supercharger,34.026990000000000,-117.68730100000000,Ioniq 5 N,2025,2025,with adapter
Team Ford,36.259310000000000,-115.24797700000000,Ioniq 6,2022,2025,with adapter
"Las Vegas, NV - East Twain Avenue - Tesla Supercharger",36.121869000000000,-115.14503000000000,Ioniq 6,2022,2025,with adapter
Thailand Plaza,34.101990000000000,-118.30639000000000,Ioniq 5,2022,2024,with adapter
GM Oil Site 111 FoodMart Los Angeles,34.018660888026000,-118.35493777871600,Kona Electric,2019,2025,with adapter
"Dunhill - Shoppes at Chino Hills (Chino Hills, CA)",34.000247300000000,-117.72841960000000,Ioniq 5,2025,2026,with adapter
San Dimas Plaza Shopping Center,34.107530000000000,-117.82649000000000,Ioniq 5 N,2025,2025,with adapter
CITY_OF_VERNON 1850 E25TH-6,34.014444000000000,-118.23802600000000,Kona Electric,2019,2025,with adapter
Barstow - Coral Charge,34.891277870000000,-117.00371410000000,Ioniq 6,2022,2025,with adapter
76 San Gabriel,34.103300000000000,-118.09950000000000,Ioniq 6,2022,2025,with adapter
Solair Wilshire,34.061876900000000,-118.30862790000000,Ioniq 5 N,2025,2025,with adapter
Little Caesars Pizza- 10714 S Western Ave,33.938580000000000,-118.30886000000000,Ioniq 5 N,2026,2026,with adapter
"Target T2179 (Diamond Bar, CA)",34.004360000000000,-117.82223000000000,Ioniq 5 N,2026,2026,with adapter
1135 W Renaissance Parkway,34.132132000000000,-117.39271700000000,Ioniq 6,2022,2025,with adapter
IN-N-OUT ATLANTIC 05,33.977354000000000,-118.18756900000000,Ioniq 5 N,2025,2025,with adapter
"Forum Shops at Caesars Palace (Las Vegas, NV)",36.119740000000000,-115.17691000000000,Ioniq 5 N,2025,2025,with adapter
Barstow - Coral Charge,34.891277870000000,-117.00371410000000,Ioniq 5,2022,2024,with adapter
Amna,34.063190000000000,-118.23265000000000,Ioniq 9,2026,,with adapter
CITY_OF_VERNON 1850 E25TH-3,34.014481000000000,-118.23795800000000,Ioniq 5,2022,2024,with adapter
"Pasadena, CA - E Glenarm St - Tesla Supercharger",34.127184000000000,-118.14776100000000,Ioniq 5,2025,2026,with adapter
"Alhambra, CA - Tesla Supercharger",34.087063000000000,-118.15119600000000,Ioniq 5 N,2026,2026,with adapter
Margarita Plaza,33.975304000000000,-118.23001900000000,Ioniq 5,2025,2026,with adapter
"Baker, CA - Mojave Pointe Rd - Tesla Supercharger",35.268984000000000,-116.06668900000000,Ioniq 5 N,2026,2026,with adapter
GF4EVA VVILLE M6 DC1,34.556277000000000,-117.28995100000000,Ioniq 6,2026,,with adapter
"Baker, CA - Mojave Pointe Rd - Tesla Supercharger",35.268984000000000,-116.06668900000000,Ioniq 5,2022,2024,with adapter
City of Los Angeles Lot 628,34.074273000000000,-118.21532100000000,Ioniq 6,2022,2025,with adapter
Cardenas Market Hesperia,34.423802000000000,-117.32503600000000,Ioniq 5,2022,2024,with adapter
Barlow Respiratory Hospital,34.074594000000000,-118.24769900000000,Ioniq 5,2025,2026,with adapter
H&S ENERGY H&S#23 CHEVRON,34.046069000000000,-117.80259600000000,Ioniq 5,2025,2026,with adapter
"Ontario, CA - N Haven Ave - Tesla Supercharger",34.076981000000000,-117.57431100000000,Ioniq 5 N,2025,2025,with adapter
Culver - Motor Structure 1st Floor,34.015769507079150,-118.40445194626264,Kona Electric,2019,2025,with adapter
BWP EV CHARGE DCFC BWP LOT 2,34.178561000000000,-118.31623400000000,Ioniq 5,2025,2026,with adapter
"North Las Vegas, NV - Tesla Supercharger",36.239084000000000,-115.11611700000000,Ioniq 5 N,2025,2025,with adapter
DC CORRIDOR EDDIES Y DC2,34.907482000000000,-116.83597400000000,Ioniq 5,2025,2026,with adapter
FH DELIVERY 12339 FH SVC,34.134053000000000,-117.43728000000000,Kona Electric,2019,2025,with adapter
"Montebello Plaza (Montebello , CA)",34.031070000000000,-118.12404000000000,Kona Electric,2019,2025,with adapter
"West Covina, CA - Tesla Supercharger",34.070645000000000,-117.88908200000000,Kona Electric,2019,2025,with adapter
JLR HENDERSON ABB 01,36.053452000000000,-115.02825800000000,Ioniq 9,2026,,with adapter
Solair Wilshire,34.061876900000000,-118.30862790000000,Ioniq 5 N,2026,2026,with adapter
City of Pasadena - Shopper's Lane,34.138606025541100,-118.13112326151200,Ioniq 5 N,2026,2026,with adapter
BMW of Monrovia,34.137556000000000,-117.98705400000000,Kona Electric,2019,2025,with adapter
"Pomona, CA - Rio Rancho Road - Tesla Supercharger",34.028502000000000,-117.76035400000000,Ioniq 5 N,2025,2025,with adapter
820 Mound Ave,34.116707000000000,-118.15159800000000,Ioniq 5,2025,2026,with adapter
820 Mound Ave,34.116707000000000,-118.15159800000000,Ioniq 9,2026,,with adapter
"Target T0767 (San Dimas, CA)",34.103250000000000,-117.82342000000000,Kona Electric,2019,2025,with adapter
Sheraton Universal Hotel DC,34.137527400000000,-118.36003140000000,Ioniq 5 N,2026,2026,with adapter
FINDLAY AUTO ABB STATION2,36.143749000000000,-115.21425500000000,Ioniq 5 N,2026,2026,with adapter
"Walmart 3180 (South Gate, CA)",33.954180000000000,-118.18774000000000,Ioniq 5 N,2026,2026,with adapter
B&D PROP MGMT 2625 ST ROSE,36.014373000000000,-115.10303200000000,Ioniq 5,2025,2026,with adapter
1135 W Renaissance Parkway,34.132132000000000,-117.39271700000000,Ioniq 9,2026,,with adapter
"Pasadena, CA - E Glenarm St - Tesla Supercharger",34.127184000000000,-118.14776100000000,Ioniq 5,2022,2024,with adapter
"Alhambra, CA - Tesla Supercharger",34.087063000000000,-118.15119600000000,Ioniq 5,2025,2026,with adapter
"Alhambra, CA - Tesla Supercharger",34.087063000000000,-118.15119600000000,Ioniq 6,2026,,with adapter
"Pomona, CA - Tesla Supercharger",34.026968000000000,-117.76228800000000,Ioniq 5 N,2025,2025,with adapter
LOVE'S 374 - CA #374 DC2,34.856808000000000,-117.09186500000000,Ioniq 5,2022,2024,with adapter
G&M OIL G&M #76,34.165551000000000,-117.33235100000000,Ioniq 5,2025,2026,with adapter
BWP EV CHARGE DCFC BWP LOT 1,34.178578000000000,-118.31621300000000,Ioniq 6,2026,,with adapter
GF4EVA VVILLE M6 DC1,34.556277000000000,-117.28995100000000,Ioniq 5,2022,2024,with adapter
Barlow Respiratory Hospital,34.074594000000000,-118.24769900000000,Ioniq 5,2022,2024,with adapter
Cadillac of Las Vegas,36.143709000000000,-115.21176200000000,Ioniq 5 N,2025,2025,native only
"Walmart 4356 (SW Las Vegas, NV)",36.064600000000000,-115.24718000000000,Ioniq 5,2022,2024,native only
Puente Hills Nissan,33.998192000000000,-117.92814600000000,Kona Electric,2019,2025,native only
Sunset Studios,34.097298464012000,-118.31692890366400,Ioniq 5,2022,2024,native only
DC CORRIDOR EDDIES Y DC1,34.907504000000000,-116.83600100000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 1850 E25TH-2,34.014493000000000,-118.23793900000000,Ioniq 5 N,2025,2025,native only
IN-N-OUT ATLANTIC 04,33.977378000000000,-118.18745900000000,Ioniq 5 N,2025,2025,native only
City of Los Angeles Lot 702,34.100570000000000,-118.32733900000000,Ioniq 5 N,2025,2025,native only
"West Covina, CA - 1414 S Azusa Ave - Tesla Supercharger",34.047677000000000,-117.90707500000000,Ioniq 5 N,2026,2026,native only
L446 1,36.273183000000000,-115.26523900000000,Ioniq 6,2022,2025,native only
"Pavilions 2229 (Los Angeles, CA)",34.083640000000000,-118.32747000000000,Ioniq 5,2022,2024,native only
SCPPA SCPPA CPE200T,34.118106000000000,-117.82245700000000,Ioniq 5,2022,2024,native only
820 Mound Ave,34.116707000000000,-118.15159800000000,Ioniq 5 N,2025,2025,native only
1135 W Renaissance Parkway,34.132132000000000,-117.39271700000000,Kona Electric,2019,2025,native only
Inglewood City Hall,33.962406000000000,-118.35363500000000,Ioniq 6,2022,2025,native only
"Rancho Cucamonga, CA – Foothill Boulevard - Tesla Supercharger",34.106565000000000,-117.52688900000000,Ioniq 5,2025,2026,native only
820 Mound Ave,34.116707000000000,-118.15159800000000,Ioniq 6,2022,2025,native only
"Sam's Club 4974 (North Las Vegas, NV)",36.241090000000000,-115.11261000000000,Ioniq 5,2022,2024,native only
Trader Joe's,34.024883000000000,-118.39244800000000,Kona Electric,2019,2025,native only
B&D PROP MGMT 2625 ST ROSE,36.014373000000000,-115.10303200000000,Kona Electric,2019,2025,native only
7-ELEVEN 20101 POMNA DC1,34.067274000000000,-117.71905700000000,Ioniq 6,2026,,native only
"Target T1524 (Spring Valley, NV)",36.114810000000000,-115.31058000000000,Ioniq 5 N,2025,2025,native only
Las Vegas NV - West Tropical Parkway - Tesla Supercharger,36.271567000000000,-115.26548900000000,Ioniq 6,2026,,native only
"Jurupa Valley, CA - Tesla Supercharger",34.012541000000000,-117.46064800000000,Ioniq 5,2025,2026,native only
"Baldwin Park, CA - Tesla Supercharger",34.079207000000000,-117.98884000000000,Ioniq 5 N,2026,2026,native only
GM Oil Site 76 Chevron San Bernardino,34.165633510226000,-117.33232266743800,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 3805 SOTO-10,34.008061000000000,-118.22000100000000,Ioniq 5,2022,2024,native only
"Henderson, NV - Paseo Verde Parkway - Tesla Supercharger",36.022121000000000,-115.08922800000000,Ioniq 6,2026,,native only
FH DELIVERY 121A4 FH SVC,34.133796000000000,-117.43710300000000,Ioniq 6,2022,2025,native only
76 Gas Station San Gabriel,34.103147800000000,-118.09930910000000,Ioniq 6,2022,2025,native only
CITY_OF_VERNON 3805 SOTO-9,34.008059000000000,-118.21997600000000,Ioniq 5,2022,2024,native only
"Las Vegas, NV - West Craig Road - Tesla Supercharger",36.239055000000000,-115.24980200000000,Ioniq 5,2025,2026,native only
City of Los Angeles Lot 670,34.102558000000000,-118.33434900000000,Kona Electric,2019,2025,native only
IN-N-OUT ATLANTIC 04,33.977378000000000,-118.18745900000000,Ioniq 6,2022,2025,native only
Claremont Star,34.107625900000000,-117.72058890000000,Ioniq 6,2022,2025,native only
Downey Nissan,33.947674638000000,-118.15152577300000,Ioniq 5,2022,2024,native only
Sheraton Universal Hotel DC,34.137527400000000,-118.36003140000000,Kona Electric,2019,2025,native only
CITY_OF_VERNON 1850 E25TH-3,34.014481000000000,-118.23795800000000,Kona Electric,2019,2025,native only
FINDLAY AUTO ABB STATION1,36.143714000000000,-115.21425600000000,Kona Electric,2019,2025,native only
GM Oil Site 111 FoodMart Los Angeles,34.018660888026000,-118.35493777871600,Ioniq 6,2022,2025,native only
"BOA Crenshaw Imperial CA8-191 (Inglewood, CA)",33.929310000000000,-118.32674000000000,Kona Electric,2019,2025,native only
DC OB DC 3,34.846389000000000,-117.08386400000000,Kona Electric,2019,2025,native only
7-ELEVEN 20101 POMNA DC1,34.067274000000000,-117.71905700000000,Kona Electric,2019,2025,native only
City of Los Angeles Lot 628,34.074273000000000,-118.21532100000000,Kona Electric,2019,2025,native only
WLCAC,33.936653700000000,-118.25362400000000,Ioniq 5,2025,2026,native only
City of Pasadena - Marengo Garage,34.144703000000000,-118.14695700000000,Ioniq 5 N,2025,2025,native only
City of Pasadena - Marengo Garage,34.144703000000000,-118.14695700000000,Ioniq 6,2022,2025,native only
"Los Angeles, CA - Industrial Street - Tesla Supercharger",34.035783000000000,-118.23835900000000,Ioniq 6,2026,,native only
City of Pasadena - Arroyo Parkway,34.127455808632000,-118.14781708221200,Ioniq 5,2022,2024,native only
DC CORRIDOR EDDIES Y DC2,34.907482000000000,-116.83597400000000,Kona Electric,2019,2025,native only
"Upland, CA - Arrow Rte - Tesla Supercharger",34.099154000000000,-117.70019200000000,Ioniq 6,2026,,native only
7Charge - Covina 22548,34.086890000000000,-117.92584000000000,Ioniq 9,2026,,native only
Venice Crossroads,34.027360000000000,-118.39233000000000,Kona Electric,2019,2025,native only
Mountain Vista Plaza,34.137466600000000,-117.98216400000000,Ioniq 5,2022,2024,native only
CITY_OF_VERNON 1850 E25TH-4,34.014472000000000,-118.23798500000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 3805 SOTO-7,34.007973000000000,-118.21989600000000,Ioniq 5 N,2026,2026,native only
City of Pasadena - Robinson Park,34.164516574203800,-118.15178871863500,Ioniq 5 N,2025,2025,native only
Diamond Hills Plaza,33.975996600000000,-117.83810960000000,Ioniq 6,2022,2025,native only
"Las Vegas, NV - South Fort Apache Road - Tesla Supercharger",36.093958000000000,-115.29710800000000,Ioniq 6,2026,,native only
"Rancho Cucamonga, CA – Foothill Boulevard - Tesla Supercharger",34.106565000000000,-117.52688900000000,Ioniq 5 N,2026,2026,native only
Solair Wilshire,34.061876900000000,-118.30862790000000,Kona Electric,2019,2025,native only
Vons #2261 3rd St.,34.070012400000000,-118.29028300000000,Ioniq 6,2022,2025,native only
California Institute of Technology - California Parking Structure,34.134066000000000,-118.12636300000000,Ioniq 9,2026,,native only
CITY_OF_VERNON 1850 E25TH-8,34.014405000000000,-118.23806900000000,Kona Electric,2019,2025,native only
1820 Industrial,34.035224000000000,-118.23392000000000,Ioniq 5,2022,2024,native only
B&D PROP MGMT 2645 ST ROSE,36.014271000000000,-115.10318500000000,Ioniq 5,2022,2024,native only
"The Shops at Jurupa Valley (Jurupa Valley, CA)",34.011350000000000,-117.46173000000000,Ioniq 6,2022,2025,native only
CITY_OF_VERNON 1850 E25TH-1,34.014503000000000,-118.23790700000000,Ioniq 5 N,2025,2025,native only
Cardenas Market Hesperia,34.423802000000000,-117.32503600000000,Ioniq 5 N,2025,2025,native only
"La Verne, CA - Tesla Supercharger",34.121427000000000,-117.78710200000000,Ioniq 9,2026,,native only
Rialto Village,34.073740000000000,-117.37058000000000,Ioniq 6,2022,2025,native only
"North Las Vegas, NV - Tesla Supercharger",36.239084000000000,-115.11611700000000,Ioniq 6,2026,,native only
"Ultra Gas and Mart (Baker, CA)",35.262260000000000,-116.08110000000000,Kona Electric,2019,2025,native only
Jordan Downs,33.946716000000000,-118.22994000000000,Kona Electric,2019,2025,native only
North Las Vegas Rechargery Relay - W Centennial Pkwy,36.276117000000000,-115.17951200000000,Ioniq 5 N,2025,2025,native only
"Walmart 4340 (Hesperia, CA)",34.424540000000000,-117.37148000000000,Kona Electric,2019,2025,native only
Central & Walnut - Tesla Supercharger,34.026990000000000,-117.68730100000000,Ioniq 5,2022,2024,native only
City of Los Angeles Lot 744,33.961488000000000,-118.29207000000000,Ioniq 5,2025,2026,native only
CITY_OF_VERNON 3805 SOTO-4,34.007896000000000,-118.21989600000000,Ioniq 6,2026,,native only
MIDTOWN LA MIDTOWN DC,34.047397000000000,-118.33611300000000,Ioniq 5 N,2025,2025,native only
US Bank Jurupa Valley,34.012078600000000,-117.48206780000000,Ioniq 6,2022,2025,native only
Caltrans - Clyde V. Kane Rest Area - Northbound,35.031900000000000,-116.46912800000000,Ioniq 5,2022,2024,native only
Resort World Las Vegas,36.135200000000000,-115.16760000000000,Ioniq 5,2022,2024,native only
L446 1,36.273183000000000,-115.26523900000000,Ioniq 5 N,2025,2025,native only
Site 2,36.283102000000000,-115.02908300000000,Kona Electric,2019,2025,native only
"Hesperia, CA - Main Street - Tesla Supercharger",34.426362000000000,-117.35465000000000,Ioniq 5 N,2026,2026,native only
"Pomona, CA - Rio Rancho Road - Tesla Supercharger",34.028502000000000,-117.76035400000000,Ioniq 5 N,2026,2026,native only
City of Los Angeles Lot 619,34.097765000000000,-118.35316900000000,Ioniq 5,2025,2026,native only
Park Towers at Hughes Center,36.115304500000000,-115.15677400000000,Ioniq 5,2022,2024,native only
Amna,34.063190000000000,-118.23265000000000,Ioniq 6,2022,2025,native only
"Sam's Club 4974 (North Las Vegas, NV)",36.241090000000000,-115.11261000000000,Ioniq 6,2022,2025,native only
California Institute of Technology - California Parking Structure,34.134066000000000,-118.12636300000000,Ioniq 5,2022,2024,native only
Covina Hills Chevrolet,34.078031000000000,-117.89101400000000,Ioniq 5 N,2025,2025,native only
"West Covina, CA - E Eastland Center Drive - Tesla Supercharger",34.073884000000000,-117.88975400000000,Ioniq 9,2026,,native only
G&M OIL CHEVRON #27,34.470993000000000,-117.35262000000000,Ioniq 5,2022,2024,native only
"Commerce, CA - E Telegraph Rd - Tesla Supercharger",33.998388000000000,-118.14614700000000,Ioniq 5 N,2026,2026,native only
PowerStation - Rasor Rd,35.134718200000000,-116.21681310000000,Kona Electric,2019,2025,native only
JLR HENDERSON ABB 02,36.053704000000000,-115.02745100000000,Kona Electric,2019,2025,native only
IN-N-OUT ATLANTIC 01,33.977780000000000,-118.18719400000000,Ioniq 5,2022,2024,native only
